bcspwr06,1470,922,911,916,922
bcsstk04,364,207,207,203,203
bibd_9_5,434,98,105,85,89
bibd_11_5,640,295,280,280,328
bibd_12_4,535,299,294,298,298
bibd_12_5,1024,536,501,503,497
