Matrix_10000_10000_50_50_125_50_uniform,89758,76487,75342,72323,73447
Matrix_10000_10000_50_50_125_20_uniform,102283,81079,80646,93808,85442
Matrix_10000_10000_50_50_250_0_uniform,220920,175689,176729,175030,174868
Matrix_10000_10000_50_50_375_20_uniform,300290,271105,274352,269292,269232
Matrix_10000_10000_50_50_250_50_uniform,177404,163476,164127,165212,180121
Matrix_10000_10000_50_50_250_20_uniform,216994,206666,221602,185355,184037
Matrix_10000_10000_50_50_375_50_uniform,288326,263291,291024,249770,249432
Matrix_10000_10000_50_50_375_0_uniform,305340,300532,303167,293709,280106
Matrix_10000_10000_50_50_500_50_uniform,402640,342157,326857,322325,317646
Matrix_10000_10000_50_50_500_20_uniform,407457,429077,334002,333686,335837
Matrix_10000_10000_50_50_500_0_uniform,423369,354223,369977,409576,375129
Matrix_10000_10000_50_50_25_50_uniform,22280,15005,14778,14882,14867
Matrix_10000_10000_50_50_25_0_uniform,26300,15414,15302,15352,15347
Matrix_10000_10000_50_50_25_20_uniform,21027,16336,16048,16031,16096
Matrix_10000_10000_50_50_125_0_uniform,79746,71079,71090,71099,71194
Matrix_10000_10000_50_100_500_50_uniform,195482,174467,169026,165429,166385
Matrix_10000_10000_50_100_500_0_uniform,189543,171492,169295,168919,170489
Matrix_10000_10000_50_100_750_20_uniform,321474,254528,253468,256531,256396
Matrix_10000_10000_50_100_500_20_uniform,198429,234064,180409,182431,182470
Matrix_10000_10000_50_100_750_0_uniform,291850,270506,279239,266762,266800
Matrix_10000_10000_50_100_750_50_uniform,260292,253709,289143,265697,244482
Matrix_10000_10000_50_100_1000_50_uniform,438200,308631,309187,308285,311546
Matrix_10000_10000_50_100_1000_0_uniform,445025,388357,355643,363827,370369
Matrix_10000_10000_50_100_1000_20_uniform,462663,349139,348798,357440,348386
Matrix_10000_10000_100_50_50_50_uniform,33540,28891,27582,20323,19632
Matrix_10000_10000_100_50_50_20_uniform,32332,22291,22180,21920,21969
Matrix_10000_10000_100_50_50_0_uniform,23964,16175,16048,15933,15682
Matrix_10000_10000_50_100_250_50_uniform,87721,72240,72291,72246,72230
Matrix_10000_10000_100_100_1000_50_uniform,188468,198332,160165,160871,162433
Matrix_10000_10000_100_100_1000_20_uniform,206454,191165,189878,190620,190199
Matrix_10000_10000_100_100_2000_20_uniform,421406,369493,365001,364515,370099
Matrix_10000_10000_100_100_1500_0_uniform,319864,253978,271017,253574,251236
Matrix_10000_10000_100_100_2000_50_uniform,391464,329857,327010,329365,350482
Matrix_10000_10000_100_100_100_50_uniform,22678,14785,14750,15023,14800
Matrix_10000_10000_100_100_100_0_uniform,23577,13076,12958,12910,12926
Matrix_10000_10000_50_100_50_20_uniform,20452,10478,10108,10155,10116
Matrix_10000_10000_50_100_50_50_uniform,20482,15354,14612,14600,14477
Matrix_10000_10000_100_100_100_20_uniform,22789,15237,15223,15215,15121
Matrix_10000_10000_50_100_50_0_uniform,19903,10945,10585,10350,10221
Matrix_10000_10000_50_100_250_0_uniform,86525,70680,67949,67201,67054
Matrix_10000_10000_100_50_750_20_uniform,307569,325220,304251,291588,288141
Matrix_10000_10000_100_50_750_50_uniform,270601,237287,237381,241196,247709
Matrix_10000_10000_100_50_1000_20_uniform,415625,361723,347875,349407,356224
Matrix_10000_10000_100_50_1000_50_uniform,367587,346803,349533,325625,323284
Matrix_10000_10000_100_50_1000_0_uniform,449633,361780,380849,366133,375582
Matrix_10000_10000_100_50_500_50_uniform,192713,165479,165162,169858,169358
Matrix_10000_10000_100_50_500_20_uniform,223690,193333,189574,195253,190095
Matrix_10000_10000_100_50_750_0_uniform,311517,266869,262676,260477,258210
Matrix_10000_10000_100_50_250_50_uniform,99126,85618,86454,88846,85935
Matrix_10000_10000_100_50_250_0_uniform,93550,71324,70877,71607,70823
Matrix_10000_10000_50_100_250_20_uniform,94641,84262,88362,88267,86217
Matrix_10000_10000_100_50_250_20_uniform,106053,99966,100886,100305,100815
Matrix_10000_10000_100_50_500_0_uniform,217392,184961,215092,174872,183299
Matrix_10000_10000_100_100_2000_0_uniform,421564,362318,356555,355741,355488
Matrix_10000_10000_100_100_500_50_uniform,94009,80038,108200,109998,77183
Matrix_10000_10000_100_100_500_0_uniform,88636,68897,68511,76742,84573
Matrix_10000_10000_100_100_500_20_uniform,99970,91342,92132,93655,90326
Matrix_10000_10000_100_100_1000_0_uniform,263980,204140,162706,159933,162594
Matrix_10000_10000_100_100_1500_20_uniform,304972,277211,301144,311102,279962
Matrix_10000_10000_100_100_1500_50_uniform,264370,253456,253530,253001,251288
Matrix_10000_10000_50_50_375_50_nonuniform,451394,437744,446016,446042,444531
Matrix_10000_10000_50_50_375_99_nonuniform,26561,23716,23681,23805,23787
Matrix_10000_10000_50_50_375_10_nonuniform,513634,492513,496466,493028,491726
Matrix_10000_10000_50_50_250_30_nonuniform,356674,341183,340244,339450,340779
Matrix_10000_10000_50_50_250_20_nonuniform,360091,344126,339037,355617,349624
Matrix_10000_10000_50_50_250_10_nonuniform,373685,349661,351361,349770,346734
Matrix_10000_10000_50_50_250_0_nonuniform,348564,329494,331247,330789,331805
Matrix_10000_10000_50_50_375_40_nonuniform,487718,471577,468575,471860,476362
Matrix_10000_10000_50_50_375_0_nonuniform,538660,505963,505433,504566,512893
Matrix_10000_10000_50_50_375_75_nonuniform,331370,318767,323967,322678,325395
Matrix_10000_10000_50_50_375_30_nonuniform,496038,479750,485789,477613,483715
Matrix_10000_10000_50_50_375_20_nonuniform,513016,494144,492551,493044,492085
Matrix_10000_10000_50_50_500_20_nonuniform,656107,632368,629426,636926,635688
Matrix_10000_10000_50_50_500_99_nonuniform,33755,30698,30699,30869,30854
Matrix_10000_10000_50_50_500_0_nonuniform,738962,718232,710861,711932,722402
Matrix_10000_10000_50_50_500_75_nonuniform,440085,424529,428205,423661,424558
Matrix_10000_10000_50_50_500_40_nonuniform,634350,608751,606212,607165,610664
Matrix_10000_10000_50_50_500_10_nonuniform,708532,696896,686187,689456,676168
Matrix_10000_10000_50_50_500_30_nonuniform,666317,625127,616623,618608,617024
Matrix_10000_10000_50_50_500_50_nonuniform,619095,597266,592569,596760,584894
Matrix_10000_10000_50_50_25_0_nonuniform,43403,40265,40269,40279,42862
Matrix_10000_10000_50_50_25_75_nonuniform,30396,28693,28687,28607,28652
Matrix_10000_10000_50_50_25_99_nonuniform,5364,4426,4438,4413,4398
Matrix_10000_10000_50_50_25_50_nonuniform,41245,38947,38971,38900,38865
Matrix_10000_10000_50_50_25_20_nonuniform,50431,47205,46766,47171,46991
Matrix_10000_10000_50_50_25_40_nonuniform,45531,42577,42576,42498,38815
Matrix_10000_10000_50_50_25_30_nonuniform,48757,44274,44239,44186,44239
Matrix_10000_10000_50_50_25_10_nonuniform,50200,46977,46943,46911,47005
Matrix_10000_10000_50_50_125_99_nonuniform,11672,10705,10637,10606,10623
Matrix_10000_10000_50_50_125_50_nonuniform,176918,171917,171426,171762,171622
Matrix_10000_10000_50_50_125_40_nonuniform,187699,179990,180031,180307,180406
Matrix_10000_10000_50_50_125_20_nonuniform,179869,170213,170778,170521,169425
Matrix_10000_10000_50_50_125_10_nonuniform,192339,178426,178085,178435,178784
Matrix_10000_10000_50_50_125_30_nonuniform,190395,183244,183812,184320,183531
Matrix_10000_10000_50_50_125_75_nonuniform,125170,120357,120483,120590,120458
Matrix_10000_10000_50_50_250_99_nonuniform,18968,16938,16920,16904,16920
Matrix_10000_10000_50_50_125_0_nonuniform,194702,178321,177224,178313,174365
Matrix_10000_10000_50_50_250_40_nonuniform,339945,331752,326166,324814,324757
Matrix_10000_10000_50_100_750_30_nonuniform,430538,428395,437411,429337,428042
Matrix_10000_10000_50_50_250_75_nonuniform,229315,221009,221146,221449,220586
Matrix_10000_10000_50_50_250_50_nonuniform,322085,313908,313531,311894,307178
Matrix_10000_10000_50_100_1000_20_nonuniform,571249,540061,559010,546442,543455
Matrix_10000_10000_50_100_750_50_nonuniform,395304,387469,386582,386978,392681
Matrix_10000_10000_50_100_1000_99_nonuniform,31258,28197,28333,28419,28327
Matrix_10000_10000_50_100_1000_40_nonuniform,519893,498576,515235,514190,506324
Matrix_10000_10000_50_100_1000_75_nonuniform,358168,353810,361473,360186,355689
Matrix_10000_10000_50_100_1000_50_nonuniform,492801,480633,482332,485746,487643
Matrix_10000_10000_50_100_1000_0_nonuniform,623674,586022,592778,605199,604385
Matrix_10000_10000_50_100_1000_30_nonuniform,545327,531708,532450,532691,531078
Matrix_10000_10000_50_100_1000_10_nonuniform,562213,548650,536802,546451,538672
Matrix_10000_10000_50_100_50_99_nonuniform,4575,3780,3798,3771,3787
Matrix_10000_10000_50_100_50_50_nonuniform,30038,27315,27264,27225,27204
Matrix_10000_10000_50_100_50_75_nonuniform,21268,19010,18956,18955,18961
Matrix_10000_10000_50_100_50_40_nonuniform,32229,29173,28872,28872,28833
Matrix_10000_10000_50_100_50_10_nonuniform,35326,32622,32461,32457,32472
Matrix_10000_10000_50_100_50_20_nonuniform,36838,32916,32886,32960,32923
Matrix_10000_10000_50_100_50_0_nonuniform,37290,35039,35016,35028,34962
Matrix_10000_10000_50_100_50_30_nonuniform,43760,40790,40871,40714,40785
Matrix_10000_10000_50_100_250_75_nonuniform,108743,105075,105060,105101,105118
Matrix_10000_10000_50_100_250_20_nonuniform,165976,161324,161503,161104,160865
Matrix_10000_10000_50_100_250_10_nonuniform,175809,169151,169643,169680,169266
Matrix_10000_10000_50_100_250_0_nonuniform,170257,163818,162885,167314,162202
Matrix_10000_10000_50_100_250_50_nonuniform,150549,146787,142853,142954,138729
Matrix_10000_10000_50_100_250_99_nonuniform,11087,9895,9876,9848,9849
Matrix_10000_10000_50_100_250_40_nonuniform,157009,148539,148254,148828,148913
Matrix_10000_10000_50_100_250_30_nonuniform,163687,159487,158288,158354,158629
Matrix_10000_10000_50_100_500_20_nonuniform,315381,301624,303429,304169,308739
Matrix_10000_10000_50_100_500_99_nonuniform,17573,15833,15832,15860,15790
Matrix_10000_10000_50_100_500_0_nonuniform,301697,284277,289774,289838,289522
Matrix_10000_10000_50_100_750_40_nonuniform,425852,408942,416585,410963,409879
Matrix_10000_10000_50_100_750_10_nonuniform,441352,420033,419858,422731,420972
Matrix_10000_10000_50_100_500_10_nonuniform,310179,318067,294447,292411,289557
Matrix_10000_10000_50_100_750_99_nonuniform,23765,21725,21808,21630,21806
Matrix_10000_10000_50_100_500_75_nonuniform,207235,200906,201090,201081,190210
Matrix_10000_10000_50_100_500_50_nonuniform,273757,264420,266326,268217,261648
Matrix_10000_10000_50_100_500_30_nonuniform,313978,294522,299384,306393,280226
Matrix_10000_10000_50_100_500_40_nonuniform,289270,270382,270253,270242,270006
Matrix_10000_10000_50_100_750_0_nonuniform,455542,437381,431928,434399,433698
Matrix_10000_10000_50_100_750_20_nonuniform,446792,425775,426065,428113,428784
Matrix_10000_10000_50_100_750_75_nonuniform,286273,277506,276629,276156,277468
Matrix_10000_10000_100_50_250_30_nonuniform,165157,159344,159912,159476,159568
Matrix_10000_10000_100_50_250_40_nonuniform,157896,150861,150827,150779,150675
Matrix_10000_10000_100_50_250_75_nonuniform,105711,101659,101384,101400,101633
Matrix_10000_10000_100_50_250_50_nonuniform,148814,142603,142482,142415,142864
Matrix_10000_10000_100_50_250_20_nonuniform,166165,161903,160345,148194,148366
Matrix_10000_10000_100_50_250_10_nonuniform,165799,160209,160155,159965,159846
Matrix_10000_10000_100_50_500_99_nonuniform,18725,16944,16878,16875,16907
Matrix_10000_10000_100_50_500_30_nonuniform,338299,308660,307425,305301,306996
Matrix_10000_10000_100_50_500_20_nonuniform,346110,333231,317999,313981,313479
Matrix_10000_10000_100_50_500_10_nonuniform,344291,333540,334654,333388,333833
Matrix_10000_10000_100_50_750_75_nonuniform,312310,299085,305314,300288,298592
Matrix_10000_10000_100_50_500_40_nonuniform,321000,314857,311294,313902,312690
Matrix_10000_10000_100_50_750_50_nonuniform,432072,414293,419747,413420,420306
Matrix_10000_10000_100_50_500_75_nonuniform,214237,210010,214261,213807,212531
Matrix_10000_10000_100_50_500_50_nonuniform,319861,312554,312706,313903,311540
Matrix_10000_10000_100_50_750_40_nonuniform,475253,447947,451905,447714,448421
Matrix_10000_10000_100_50_500_0_nonuniform,329227,310905,312340,307669,305788
Matrix_10000_10000_100_50_1000_0_nonuniform,686838,673631,670811,669027,662677
Matrix_10000_10000_100_50_1000_50_nonuniform,549717,546077,533175,531117,536649
Matrix_10000_10000_100_50_750_99_nonuniform,25397,23277,23135,23090,23235
Matrix_10000_10000_100_50_750_0_nonuniform,496023,470115,476710,469403,472634
Matrix_10000_10000_100_50_1000_20_nonuniform,626183,608964,608614,596599,603389
Matrix_10000_10000_100_50_750_20_nonuniform,487459,465428,478537,478819,466196
Matrix_10000_10000_100_50_750_30_nonuniform,471041,453481,456399,469701,466828
Matrix_10000_10000_100_50_750_10_nonuniform,496046,486871,491129,488580,485753
Matrix_10000_10000_100_50_1000_75_nonuniform,415897,399068,406546,399659,401854
Matrix_10000_10000_100_50_1000_99_nonuniform,32133,31558,29237,29159,29180
Matrix_10000_10000_100_50_1000_40_nonuniform,587778,577310,572074,577251,566795
Matrix_10000_10000_100_50_1000_10_nonuniform,635826,615167,612631,611289,612398
Matrix_10000_10000_100_50_1000_30_nonuniform,612602,581902,587690,590309,583857
Matrix_10000_10000_100_50_50_50_nonuniform,39385,37236,37088,37108,37170
Matrix_10000_10000_100_50_50_30_nonuniform,46508,41482,36351,36321,36319
Matrix_10000_10000_100_50_50_10_nonuniform,44448,39393,39424,39450,39400
Matrix_10000_10000_100_50_50_40_nonuniform,38965,36634,36610,36618,36641
Matrix_10000_10000_100_50_50_75_nonuniform,29574,25357,24718,24664,24681
Matrix_10000_10000_100_50_50_99_nonuniform,5384,4531,4530,4519,4525
Matrix_10000_10000_100_50_50_0_nonuniform,46933,43959,42653,42571,42576
Matrix_10000_10000_100_50_50_20_nonuniform,46512,44114,44109,44148,44101
Matrix_10000_10000_100_50_250_99_nonuniform,11443,10077,10069,10088,10063
Matrix_10000_10000_100_50_250_0_nonuniform,171732,164291,165235,163736,164965
Matrix_10000_10000_100_100_1000_10_nonuniform,309905,296809,295130,295650,298379
Matrix_10000_10000_100_100_1500_20_nonuniform,453985,442132,439845,441524,439957
Matrix_10000_10000_100_100_1000_30_nonuniform,301447,291047,291482,291126,290945
Matrix_10000_10000_100_100_1500_99_nonuniform,24683,22201,22083,22190,22104
Matrix_10000_10000_100_100_1000_40_nonuniform,297429,287144,291224,290763,292157
Matrix_10000_10000_100_100_2000_75_nonuniform,387194,369092,370798,379284,368152
Matrix_10000_10000_100_100_1000_20_nonuniform,317182,301171,302737,303432,302022
Matrix_10000_10000_100_100_2000_30_nonuniform,555196,535993,535935,535588,534129
Matrix_10000_10000_100_100_2000_10_nonuniform,578801,562475,567672,566522,558362
Matrix_10000_10000_100_100_1500_0_nonuniform,463724,442058,448467,444449,444551
Matrix_10000_10000_100_100_2000_50_nonuniform,516207,499859,499519,499976,498897
Matrix_10000_10000_100_100_1500_10_nonuniform,460382,451703,445068,450820,451582
Matrix_10000_10000_100_100_1500_75_nonuniform,292658,279440,281269,284422,278797
Matrix_10000_10000_100_100_2000_20_nonuniform,569154,556812,555134,549062,547207
Matrix_10000_10000_100_100_2000_0_nonuniform,641698,614935,613289,614549,614468
Matrix_10000_10000_100_100_1500_50_nonuniform,401562,386560,387161,385985,387620
Matrix_10000_10000_100_100_1500_30_nonuniform,430833,415185,416694,417471,419643
Matrix_10000_10000_100_100_1500_40_nonuniform,430169,423940,422628,426673,426244
Matrix_10000_10000_100_100_2000_99_nonuniform,31969,28605,28567,28654,28662
Matrix_10000_10000_100_100_2000_40_nonuniform,541126,521907,520116,527801,519014
Matrix_10000_10000_100_100_100_99_nonuniform,4645,3906,3926,3899,3914
Matrix_10000_10000_100_100_100_75_nonuniform,18386,16725,16751,16718,16689
Matrix_10000_10000_100_100_100_50_nonuniform,24930,23077,23140,23162,23128
Matrix_10000_10000_100_100_100_40_nonuniform,26213,23274,23235,23250,23198
Matrix_10000_10000_100_100_100_10_nonuniform,29425,26749,26817,26735,26761
Matrix_10000_10000_100_100_100_30_nonuniform,27838,24933,25012,24945,24921
Matrix_10000_10000_100_100_100_20_nonuniform,35251,33183,33161,33169,33127
Matrix_10000_10000_100_100_100_0_nonuniform,28337,26328,26138,26142,26230
Matrix_10000_10000_100_100_500_99_nonuniform,10313,9202,9135,9157,9162
Matrix_10000_10000_100_100_500_75_nonuniform,103641,99998,100025,99849,99909
Matrix_10000_10000_100_100_500_40_nonuniform,151751,144349,144210,144437,144761
Matrix_10000_10000_100_100_500_30_nonuniform,157473,148111,148040,148286,148421
Matrix_10000_10000_100_100_500_0_nonuniform,149528,142916,143453,143428,146378
Matrix_10000_10000_100_100_500_10_nonuniform,166714,154751,151608,146996,146958
Matrix_10000_10000_100_100_500_20_nonuniform,164026,154143,154369,153867,154115
Matrix_10000_10000_100_100_500_50_nonuniform,145434,140871,137277,134885,135144
Matrix_10000_10000_100_100_1000_99_nonuniform,17663,15730,15791,15736,15755
Matrix_10000_10000_100_100_1000_75_nonuniform,195045,189332,189130,189235,188994
Matrix_10000_10000_100_100_1000_0_nonuniform,310488,315258,297171,293554,293545
Matrix_10000_10000_100_100_1000_50_nonuniform,270361,259913,260131,260850,260466
