bcspwr06,5584,4787,4460,4338,4031,3975,3954,3951,3893,3794
bcsstk04,1106,916,881,878,875,918,878,877,877,876
bibd_9_5,677,453,445,442,441,442,442,441,450,440
bibd_11_5,1201,1000,954,951,950,964,955,949,948,948
bibd_12_4,1610,1248,1310,1247,1245,1244,1257,1245,1244,1252
bibd_12_5,3028,2679,2529,2317,2247,2236,2230,1845,1765,1714
