Matrix_10000_10000_50_50_125_40_uniform,275668,262540,262557,262664,262466
Matrix_10000_10000_50_50_125_30_uniform,300012,272378,272690,271668,273211
Matrix_10000_10000_50_50_125_50_uniform,255561,242692,242169,242780,247391
Matrix_10000_10000_50_50_125_20_uniform,303349,285897,285517,286123,287673
Matrix_10000_10000_50_50_125_10_uniform,300882,283846,284880,283455,283593
Matrix_10000_10000_50_50_125_0_uniform,314563,289249,289380,285316,286146
Matrix_10000_10000_50_50_250_99_uniform,60838,54804,54697,52368,50806
Matrix_10000_10000_50_50_250_75_uniform,363824,351554,352285,352321,352697
Matrix_10000_10000_50_50_250_30_uniform,544166,521102,520866,512284,516377
Matrix_10000_10000_50_50_250_20_uniform,545186,517376,518134,518797,520557
Matrix_10000_10000_50_50_250_0_uniform,533057,505440,520588,520592,526781
Matrix_10000_10000_50_50_250_50_uniform,499159,482810,470652,468647,470735
Matrix_10000_10000_50_50_250_40_uniform,554921,548128,552898,546279,544497
Matrix_10000_10000_50_50_250_10_uniform,559255,523266,526460,531543,532208
Matrix_10000_10000_50_50_375_99_uniform,91885,74086,73677,74022,74062
Matrix_10000_10000_50_50_375_75_uniform,529143,509828,499626,499575,500895
Matrix_10000_10000_50_50_375_50_uniform,740552,695042,710817,716607,720176
Matrix_10000_10000_50_50_375_40_uniform,798404,706498,720545,714532,713313
Matrix_10000_10000_50_50_375_20_uniform,857722,810102,801524,808288,800422
Matrix_10000_10000_50_50_375_30_uniform,707232,687883,683355,696287,682022
Matrix_10000_10000_50_50_500_99_uniform,86758,76039,73152,73351,75201
Matrix_10000_10000_50_50_375_0_uniform,813173,749025,752119,753999,760184
Matrix_10000_10000_50_50_375_10_uniform,752262,695812,690826,701083,713740
Matrix_10000_10000_50_50_500_75_uniform,662547,675100,667874,672845,676910
Matrix_10000_10000_50_50_500_20_uniform,1145178,978827,946170,949193,910112
Matrix_10000_10000_50_50_500_50_uniform,838883,796248,800575,790014,797854
Matrix_10000_10000_50_50_500_0_uniform,1266445,974559,1023272,1012275,997491
Matrix_10000_10000_50_50_500_40_uniform,1099626,917072,932708,927963,1023879
Matrix_10000_10000_50_50_500_30_uniform,961951,882541,879647,882694,882130
Matrix_10000_10000_50_50_500_10_uniform,982572,930032,924491,919476,936022
Matrix_10000_10000_50_50_25_99_uniform,24461,20851,20699,20630,20740
Matrix_10000_10000_50_50_25_75_uniform,61619,46766,45827,45563,45364
Matrix_10000_10000_50_50_25_40_uniform,64974,56880,57425,57017,56739
Matrix_10000_10000_50_50_25_50_uniform,75287,67782,67518,67509,67449
Matrix_10000_10000_50_50_25_30_uniform,79674,69936,70307,72084,72142
Matrix_10000_10000_50_50_25_20_uniform,69274,62321,62202,61941,62373
Matrix_10000_10000_50_50_25_10_uniform,72186,65166,66494,65922,65415
Matrix_10000_10000_50_50_25_0_uniform,72347,66520,69693,67732,67038
Matrix_10000_10000_50_50_125_99_uniform,63208,39718,38639,38570,38689
Matrix_10000_10000_50_50_125_75_uniform,218842,187860,193241,192881,193731
Matrix_10000_10000_50_100_500_30_uniform,518981,492434,489304,491876,488640
Matrix_10000_10000_50_100_500_20_uniform,541291,517987,521705,518485,519620
Matrix_10000_10000_50_100_500_0_uniform,551817,504231,505305,507113,511315
Matrix_10000_10000_50_100_500_10_uniform,692380,657531,656059,675420,676692
Matrix_10000_10000_50_100_750_99_uniform,99982,74522,75191,77225,78506
Matrix_10000_10000_50_100_750_75_uniform,623539,570501,580962,578994,572785
Matrix_10000_10000_50_100_750_30_uniform,692446,661119,656700,652450,650888
Matrix_10000_10000_50_100_750_50_uniform,867413,813931,814143,833098,841811
Matrix_10000_10000_50_100_750_20_uniform,922596,751167,747676,745788,733821
Matrix_10000_10000_50_100_750_40_uniform,804256,770552,772286,767162,772026
Matrix_10000_10000_50_100_750_10_uniform,756761,707770,710102,707975,710097
Matrix_10000_10000_50_100_750_0_uniform,754238,700380,697761,697927,700596
Matrix_10000_10000_50_100_1000_99_uniform,109093,91258,90794,90847,81077
Matrix_10000_10000_50_100_1000_75_uniform,639086,610879,610492,611782,612057
Matrix_10000_10000_50_100_1000_40_uniform,1020536,928913,926969,913631,937556
Matrix_10000_10000_50_100_1000_50_uniform,809092,787007,788765,780429,790890
Matrix_10000_10000_50_100_1000_30_uniform,900585,852996,847866,836131,840494
Matrix_10000_10000_50_100_1000_10_uniform,1188610,934311,942582,907680,874202
Matrix_10000_10000_50_100_1000_0_uniform,991505,802726,823754,806989,804517
Matrix_10000_10000_50_100_1000_20_uniform,924319,869158,867280,933543,878342
Matrix_10000_10000_50_100_50_99_uniform,26058,25129,25147,25045,24342
Matrix_10000_10000_50_100_50_50_uniform,92087,74695,74450,74230,74014
Matrix_10000_10000_50_100_50_40_uniform,75933,60989,61348,60963,61002
Matrix_10000_10000_50_100_50_30_uniform,95405,76348,75896,75405,76618
Matrix_10000_10000_50_100_50_20_uniform,73928,65092,64799,65431,64960
Matrix_10000_10000_50_100_50_10_uniform,108001,83656,84099,84929,86248
Matrix_10000_10000_50_100_50_75_uniform,75521,60986,62653,62198,62003
Matrix_10000_10000_50_100_50_0_uniform,78890,71341,71845,71789,72083
Matrix_10000_10000_50_100_250_99_uniform,67202,50587,51221,50405,49711
Matrix_10000_10000_50_100_250_75_uniform,240127,196722,195112,195831,194139
Matrix_10000_10000_50_100_250_30_uniform,304996,276115,277033,277609,278487
Matrix_10000_10000_50_100_250_40_uniform,287831,262766,262238,263049,262749
Matrix_10000_10000_50_100_250_20_uniform,372399,335374,329933,363349,368359
Matrix_10000_10000_50_100_250_50_uniform,270264,245224,245537,245062,245518
Matrix_10000_10000_50_100_250_0_uniform,415041,335593,338027,374004,369655
Matrix_10000_10000_50_100_250_10_uniform,572527,546670,555090,517233,467829
Matrix_10000_10000_50_100_500_99_uniform,102539,76941,77467,78408,78403
Matrix_10000_10000_50_100_500_75_uniform,542025,506380,504503,502876,492987
Matrix_10000_10000_50_100_500_40_uniform,516497,484937,486000,487521,493487
Matrix_10000_10000_50_100_500_50_uniform,625361,612268,609528,612196,634519
Matrix_10000_10000_100_50_750_30_uniform,890299,857971,853466,843367,794507
Matrix_10000_10000_100_50_1000_99_uniform,120853,96761,95831,95952,95564
Matrix_10000_10000_100_50_750_40_uniform,816768,769743,749529,739898,727273
Matrix_10000_10000_100_50_1000_75_uniform,848357,785879,782550,798758,781012
Matrix_10000_10000_100_50_1000_40_uniform,1049992,885443,875732,892456,799741
Matrix_10000_10000_100_50_1000_30_uniform,979545,916669,899281,884934,882178
Matrix_10000_10000_100_50_1000_20_uniform,3161962,1687161,1572985,1375908,1367123
Matrix_10000_10000_100_50_1000_10_uniform,1009790,897223,899060,905596,909651
